pr名,用户名,url,合并时间,奖励数量
update 06_ArrayAndStruct,Ha2ryZhang,https://github.com/AmazingAng/WTF-Solidity/pull/386,2023-01-11T08:44:37Z
update 07_Mapping,hitcxy,https://github.com/AmazingAng/WTF-Solidity/pull/384,2023-01-10T10:16:57Z
Add 02_warmup English version,SunWeb3Sec,https://github.com/AmazingAng/WTF-Solidity/pull/383,2023-01-09T13:35:48Z
OnChain Transaction Debugging: 3. Write Your Own PoC,finn79426,https://github.com/AmazingAng/WTF-Solidity/pull/382,2023-01-10T10:03:15Z
OnChain Transaction Debugging: 2. Warm up,SunWeb3Sec,https://github.com/AmazingAng/WTF-Solidity/pull/381,2023-01-07T13:37:47Z
OnChain Transaction Debugging: Lession 1: Tools,SunWeb3Sec,https://github.com/AmazingAng/WTF-Solidity/pull/379,2023-01-06T08:13:00Z
Update SelectorClash.sol,Rulesbreaker,https://github.com/AmazingAng/WTF-Solidity/pull/376,未合并
Update readme.md,BoZhao1992,https://github.com/AmazingAng/WTF-Solidity/pull/375,2023-01-04T05:53:36Z
Update readme.md,luchenwei9266,https://github.com/AmazingAng/WTF-Solidity/pull/374,2023-01-03T07:27:54Z
fix typo,mookim-eth,https://github.com/AmazingAng/WTF-Solidity/pull/372,2023-01-01T13:23:41Z
修改S11和S13的错别字,0xtangping,https://github.com/AmazingAng/WTF-Solidity/pull/367,2022-12-28T07:56:21Z
Fixed OpenZeppelin Typo on Lesson 11!!,C91F37,https://github.com/AmazingAng/WTF-Solidity/pull/366,2022-12-28T07:57:00Z
"Hi, I have translated chapter 32  into English.",JetCyC,https://github.com/AmazingAng/WTF-Solidity/pull/364,未合并
操控预言机,captpickle,https://github.com/AmazingAng/WTF-Solidity/pull/361,2022-12-21T07:19:58Z
translate chapter 31 to english,douxin,https://github.com/AmazingAng/WTF-Solidity/pull/360,未合并
'1+2=2' -> '1+2=3',Jiangyj19,https://github.com/AmazingAng/WTF-Solidity/pull/358,2022-12-09T05:51:10Z
添加时间戳攻击,cheng521521,https://github.com/AmazingAng/WTF-Solidity/pull/356,2022-12-12T05:02:50Z
Update readme.md,ben46,https://github.com/AmazingAng/WTF-Solidity/pull/355,2022-12-16T15:46:55Z
Fix S08_ContractCheck readme.md,0x794E33,https://github.com/AmazingAng/WTF-Solidity/pull/353,2022-12-05T03:07:52Z
update Topics/Tools/TOOL07_Foundry/readme.md,0xtangping,https://github.com/AmazingAng/WTF-Solidity/pull/352,2022-12-04T08:10:43Z
fix readme.md number,0x794E33,https://github.com/AmazingAng/WTF-Solidity/pull/346,2022-11-28T15:06:38Z
fix 404 for S10,zhiyuan2007,https://github.com/AmazingAng/WTF-Solidity/pull/345,2022-11-27T02:04:56Z
添加了对nft tokenid随机排列的解释,Jiangyj19,https://github.com/AmazingAng/WTF-Solidity/pull/343,2022-11-30T13:41:14Z
添加了nft tokenid 随即排列算法的解释,Jiangyj19,https://github.com/AmazingAng/WTF-Solidity/pull/342,未合并
Update readme.md,isaacyuno,https://github.com/AmazingAng/WTF-Solidity/pull/340,2022-11-25T16:47:23Z
合约安全S11_SilentFailingSendsAndUnchecked更新,LIPUU,https://github.com/AmazingAng/WTF-Solidity/pull/336,2022-12-10T14:43:36Z
fix S06_SignatureReplay use case,0xtangping,https://github.com/AmazingAng/WTF-Solidity/pull/333,未合并
S10 Frontrunning,hubingliang,https://github.com/AmazingAng/WTF-Solidity/pull/332,2022-12-05T09:37:05Z
添加合约安全:S12. 操纵block timestamp,cheng521521,https://github.com/AmazingAng/WTF-Solidity/pull/331,未合并
add create,shao-shuai,https://github.com/AmazingAng/WTF-Solidity/pull/330,2022-11-19T01:42:57Z
added delegatecall translation,shao-shuai,https://github.com/AmazingAng/WTF-Solidity/pull/328,2022-11-15T03:44:46Z
update S09-DOS,hubingliang,https://github.com/AmazingAng/WTF-Solidity/pull/327,2022-11-13T14:47:55Z
typo：重访 改为 重放,alphafitz11,https://github.com/AmazingAng/WTF-Solidity/pull/325,2022-11-10T16:05:30Z
"Revert ""Add two articles about governance""",AmazingAng,https://github.com/AmazingAng/WTF-Solidity/pull/324,2022-11-10T06:43:11Z
 (新)更新了 15_tx.origin钓鱼攻击/16_蜜罐合约,seasidejuvenile666,https://github.com/AmazingAng/WTF-Solidity/pull/321,2022-11-10T06:34:12Z
"Upload en version of section 26, 28 and 29",Hendry5479,https://github.com/AmazingAng/WTF-Solidity/pull/320,2022-11-09T18:22:21Z
Add two articles about governance,Lee-TC,https://github.com/AmazingAng/WTF-Solidity/pull/319,2022-11-10T06:34:24Z
Fix img index error,JustinAsdz,https://github.com/AmazingAng/WTF-Solidity/pull/313,2022-11-08T11:57:27Z
更新了 15_tx.origin钓鱼攻击/16_蜜罐合约,seasidejuvenile666,https://github.com/AmazingAng/WTF-Solidity/pull/312,未合并
Translate 21 CallContract / 22 Call,hotsjf,https://github.com/AmazingAng/WTF-Solidity/pull/310,2022-11-07T03:48:42Z
翻译了 25/27/30讲,seasidejuvenile666,https://github.com/AmazingAng/WTF-Solidity/pull/309,2022-11-06T15:20:58Z
修改描述,w7849516230,https://github.com/AmazingAng/WTF-Solidity/pull/306,2022-11-06T09:58:28Z
Translate 20 Sending ETH,hotsjf,https://github.com/AmazingAng/WTF-Solidity/pull/305,2022-11-06T04:03:35Z
Translate 19 Fallback,hotsjf,https://github.com/AmazingAng/WTF-Solidity/pull/304,2022-11-06T02:24:32Z
Translate 19 Fallback to English,hotsjf,https://github.com/AmazingAng/WTF-Solidity/pull/303,未合并
Translate 18 into Eng,JustinAsdz,https://github.com/AmazingAng/WTF-Solidity/pull/298,2022-11-02T17:41:15Z
Adjusted title level,alphafitz11,https://github.com/AmazingAng/WTF-Solidity/pull/297,2022-11-02T14:53:44Z
Translate 17 into eng & 16 typo fixed,JustinAsdz,https://github.com/AmazingAng/WTF-Solidity/pull/296,2022-11-02T06:11:45Z
